feature,importance
5_0_9_rolling_6,0.00018822511
26_1_21_lag_6,0.00018820184
1_2_6_rolling_6,0.0001877552
7_0_31_rolling_6,0.00018735237
17_1_12_rolling_3,0.00018720086
29_1_20_rolling_12,0.00018529182
26_2_1_rolling_std_24,0.00018479653
16_2_1_rolling_3,0.00018329833
19_2_14_rolling_6,0.00018317389
15_2_6_rolling_24,0.00018257168
2_2_12_rolling_6,0.00018220898
26_1_1_rolling_3,0.00018208896
8_2_9_lag_1,0.00018153229
28_0_22_rolling_std_24,0.000180653
7_1_20_rolling_3,0.00018046389
24_1_6_lag_1,0.00018045872
27_1_22_rolling_std_24,0.00018043874
13_1_28_rolling_24,0.000180287
0_1_5_rolling_6,0.00017842674
4_2_18_rolling_3,0.0001783745
0_0_17_rolling_3,0.00017794654
1_1_2_rolling_std_6,0.00017788152
25_2_8_rolling_3,0.00017740761
0_1_7_rolling_6,0.00017732457
15_1_2_lag_12,0.00017695792
27_2_10_rolling_3,0.0001767207
5_2_9_rolling_3,0.00017647
23_0_13_rolling_24,0.00017540673
12_2_3_lag_168,0.00017501334
15_0_11_rolling_3,0.00017422765
29_1_9_rolling_6,0.0001736809
17_0_20_lag_168,0.00017346264
2_0_20_rolling_6,0.00017268445
22_0_23_rolling_24,0.00017261457
1_1_5_rolling_std_24,0.00017247917
22_0_30_lag_168,0.0001721586
10_0_4_lag_168,0.00017184134
8_1_18_rolling_std_6,0.00017155908
5_0_7_lag_1,0.00017131746
0_2_26_rolling_3,0.00017093014
17_2_3_lag_168,0.0001704185
0_2_1_rolling_std_6,0.00016989933
0_2_22_rolling_3,0.00016951139
23_0_12_rolling_6,0.00016890606
22_1_20_lag_168,0.00016837094
3_0_5_lag_168,0.00016782027
26_2_20_rolling_24,0.00016776634
0_0_17_rolling_12,0.00016767441
14_1_29_rolling_3,0.00016713084
12_1_13_rolling_3,0.0001670311
13_2_7_rolling_24,0.00016701032
5_2_17_rolling_12,0.00016700843
0_2_28_rolling_std_24,0.00016695702
2_2_19_rolling_3,0.00016648127
2_0_4_rolling_std_24,0.00016587359
23_2_14_rolling_24,0.00016540173
12_0_10_rolling_3,0.0001653443
7_2_8_rolling_3,0.00016502572
5_2_26_lag_12,0.00016496476
10_2_1_rolling_12,0.00016411094
21_2_20_lag_24,0.00016402995
2_1_15_rolling_std_6,0.00016317834
26_2_18_rolling_12,0.00016266506
7_0_5_rolling_24,0.00016258829
4_0_13_rolling_3,0.00016256438
4_1_5_lag_24,0.00016244821
21_0_20_rolling_3,0.0001622513
28_2_2_rolling_3,0.00016213505
18_0_23_lag_12,0.00016179003
26_1_2_rolling_3,0.00016150402
18_2_9_rolling_3,0.00016134373
7_2_28_rolling_3,0.00016125433
2_2_11_rolling_3,0.00016120856
26_2_21_lag_6,0.00016063957
12_1_11_rolling_3,0.00016040166
8_2_22_rolling_12,0.00016035618
29_0_5_rolling_3,0.00016032116
28_1_14_lag_6,0.00015927618
2_1_19_rolling_3,0.00015923339
28_2_3_lag_24,0.0001591782
25_0_27_lag_6,0.0001590177
5_0_9_rolling_12,0.00015880456
27_1_21_lag_12,0.00015873823
6_0_7_lag_168,0.00015859725
8_0_22_rolling_3,0.00015856755
4_0_14_rolling_std_6,0.00015850949
28_0_15_rolling_3,0.00015832836
14_1_6_rolling_3,0.00015829831
0_0_22_rolling_3,0.00015824735
13_2_23_lag_12,0.00015823434
3_1_3_lag_12,0.00015792983
23_2_13_rolling_std_24,0.00015784558
27_0_4_rolling_3,0.00015752087
15_1_30_lag_1,0.00015742998
25_1_31_rolling_6,0.00015703027
10_2_26_lag_168,0.00015683891
13_1_3_lag_168,0.00015681596
29_2_23_rolling_std_24,0.0001559952
9_0_10_rolling_3,0.00015571572
13_1_1_rolling_3,0.00015555287
20_1_12_lag_24,0.00015521969
29_0_9_rolling_std_6,0.00015510578
6_1_2_lag_12,0.00015494827
28_0_9_lag_6,0.00015471182
2_2_15_rolling_6,0.00015449016
1_1_16_rolling_3,0.00015442539
5_0_17_rolling_std_6,0.00015378188
26_1_23_rolling_3,0.00015363857
15_0_24_rolling_6,0.00015311851
13_0_0_rolling_std_24,0.00015306559
29_1_6_lag_1,0.00015209557
13_2_28_lag_168,0.00015202924
19_2_17_rolling_3,0.00015149782
18_0_1_lag_168,0.00015097525
0_1_31_lag_24,0.00015083893
8_0_8_rolling_6,0.00015068581
27_2_14_rolling_12,0.00015027475
16_1_15_rolling_3,0.00014953074
12_0_9_rolling_3,0.00014914687
0_2_12_lag_168,0.0001486253
27_2_24_rolling_3,0.00014830053
25_2_12_rolling_3,0.00014795689
5_2_20_rolling_24,0.00014684179
23_1_7_lag_168,0.00014659268
1_1_23_rolling_12,0.00014511237
29_2_0_rolling_12,0.0001449247
1_2_30_lag_168,0.00014481628
27_2_13_rolling_3,0.0001446342
20_0_2_lag_6,0.00014437085
16_0_22_rolling_3,0.00014408065
19_0_11_rolling_12,0.0001437314
29_1_10_rolling_3,0.0001435287
0_2_17_lag_6,0.0001434346
12_2_19_rolling_3,0.00014312072
2_0_9_rolling_6,0.00014252296
18_1_2_lag_12,0.00014251958
22_2_8_rolling_std_24,0.00014246885
4_0_23_rolling_std_6,0.00014232131
6_1_11_rolling_std_6,0.00014176303
15_2_12_rolling_3,0.00014140918
27_1_15_rolling_std_6,0.00014131733
27_2_2_rolling_3,0.00014131007
24_0_24_lag_12,0.00014103323
7_0_15_lag_24,0.00014077863
22_2_13_rolling_std_6,0.00014050586
21_0_18_rolling_3,0.00014045753
25_1_29_lag_168,0.00014036743
25_0_3_lag_1,0.00013990469
14_0_21_rolling_3,0.00013982314
24_1_8_rolling_6,0.00013966642
12_2_9_rolling_3,0.00013934747
7_2_0_rolling_3,0.00013915493
12_0_15_rolling_3,0.00013904797
6_0_16_lag_1,0.00013903773
11_0_1_lag_24,0.00013903249
8_2_23_rolling_3,0.00013837247
6_0_16_rolling_std_6,0.00013821172
8_1_9_rolling_3,0.00013774713
19_2_28_lag_12,0.00013773948
26_1_17_rolling_std_6,0.00013739218
11_0_28_lag_24,0.00013736126
0_0_26_lag_1,0.00013698064
15_0_2_rolling_24,0.00013681038
26_2_20_rolling_std_6,0.00013677622
15_2_19_rolling_3,0.00013675533
7_2_19_rolling_3,0.00013671281
18_1_23_rolling_12,0.00013646668
21_0_31_lag_12,0.00013612754
19_1_13_rolling_3,0.00013551055
27_0_16_rolling_std_6,0.0001352615
14_1_22_rolling_24,0.0001349263
27_1_1_lag_1,0.00013480926
12_0_9_lag_24,0.00013478963
9_0_10_lag_6,0.00013448476
5_0_30_lag_1,0.00013421706
27_2_10_lag_24,0.0001342049
15_2_2_lag_24,0.0001339941
0_1_13_rolling_3,0.00013386407
22_0_14_lag_1,0.00013385448
20_1_12_rolling_12,0.00013356878
27_2_2_lag_168,0.00013346299
14_2_22_lag_12,0.00013327037
4_1_17_rolling_3,0.00013277987
17_2_15_rolling_3,0.00013252998
5_1_24_rolling_12,0.00013249219
10_2_14_lag_6,0.00013197443
3_0_0_lag_24,0.00013188562
22_0_24_rolling_std_6,0.00013172168
15_0_23_rolling_3,0.00013172049
10_1_11_rolling_24,0.00013165502
19_1_18_rolling_24,0.00013160627
4_2_14_rolling_3,0.00013119305
